"","band","captureyear","month","birthyear","actualage","agegroup","CP","BP","loc","station","freq"
"1",697,1995,6,0,-1,"A",NA,NA,"POWD","POWD",1
"2",698,1995,7,0,-1,"A",NA,NA,"POWD","POWD",1
"3",2069,1998,6,0,-1,"A",NA,NA,"LAHO","LAUR",1
"4",5276,2002,6,0,-1,"A",NA,NA,"MARV","BEAV",1
"5",5608,2005,6,0,-1,"A",2,0,"WING","PUNK",1
"6",5618,2006,6,0,-1,"A",NA,NA,"CASP","MAP1",1
"7",5861,2004,8,0,-1,"A",0,0,"MBBS","MBBS",1
"8",6190,2006,7,0,-1,"A",0,0,"MARV","RACK",1
"9",81069061,1995,7,1995,0,"J",0,0,"RILE","TMCR",1
"10",81069079,1995,7,1995,0,"J",0,0,"RILE","TICR",1
"11",81093757,2005,6,0,-1,"A",2,NA,"CMAC","CMS1",1
"12",98000447,1994,6,0,-1,"A",2,2,"LAHO","LAUR",1
"13",98000460,1995,8,1995,0,"J",0,0,"LAHO","LAUR",1
"14",98000463,1996,8,1996,0,"J",NA,NA,"LAHO","LAUR",1
"15",98000463,1996,8,1996,0,"J",0,0,"LAHO","LAUR",1
"16",98000464,1996,8,1996,0,"J",0,0,"LAHO","LAUR",1
"17",105032217,1994,6,0,-1,"A",1,NA,"LNER","LNER",1
"18",105032217,1994,7,0,-1,"A",NA,NA,"LNER","LNER",1
"19",105032217,1995,5,0,-1,"A",2,NA,"LNER","LNER",1
"20",105032217,1996,6,0,-1,"A",1,2,"LNER","LNER",1
"21",105032217,1996,7,0,-1,"A",NA,NA,"LNER","LNER",1
"22",105032240,1994,5,0,-1,"A",1,NA,"LNER","LNER",1
"23",112068890,1994,8,0,-1,"A",0,0,"LAHO","LAUR",1
"24",112068917,2003,5,0,-1,"A",3,2,"LAHO","LAUR",1
"25",112068925,2003,5,0,-1,"A",0,3,"LAHO","LAUR",1
"26",112068934,2004,5,0,-1,"A",0,3,"LAHO","LAUR",1
"27",112068935,2004,5,0,-1,"A",2,0,"LAHO","LAUR",1
"28",112068942,2005,5,0,-1,"A",0,3,"LAHO","LAUR",1
"29",112068942,2006,6,0,-1,"A",0,3,"LAHO","LAUR",1
"30",112068943,2005,5,0,-1,"A",3,1,"LAHO","LAUR",1
"31",112068943,2005,6,0,-1,"A",3,0,"LAHO","LAUR",1
"32",112068948,2006,6,0,-1,"A",3,0,"LAHO","LAUR",1
"33",112068948,2007,5,0,-1,"A",2,1,"LAHO","LAUR",1
"34",112068950,2006,6,0,-1,"A",2,0,"LAHO","LAUR",1
"35",112068950,2006,7,0,-1,"A",3,0,"LAHO","LAUR",1
"36",112068956,2006,7,0,-1,"A",0,5,"LAHO","LAUR",1
"37",112068957,2006,7,0,-1,"A",0,5,"LAHO","LAUR",1
"38",112068958,2006,7,0,-1,"A",0,5,"LAHO","LAUR",1
"39",112068958,2007,8,0,-1,"A",0,5,"LAHO","LAUR",1
"40",112068959,2006,7,2006,0,"J",0,0,"LAHO","LAUR",1
"41",112068960,2006,7,2006,0,"J",1,0,"LAHO","LAUR",1
"42",112068969,2007,7,0,-1,"A",0,5,"LAHO","LAUR",1
"43",118012803,2000,6,0,-1,"A",3,0,"POCO","SKYT",1
"44",118012804,2000,6,0,-1,"A",0,2,"POCO","SKYT",1
"45",118012805,2000,6,0,-1,"A",0,1,"POCO","KETT",1
"46",118012805,2000,7,0,-1,"A",0,3,"POCO","KETT",1
"47",118012806,2000,6,0,-1,"A",3,0,"POCO","KETT",1
"48",118012808,2000,7,0,-1,"A",0,2,"POCO","KETT",1
"49",118012809,2000,7,0,-1,"A",0,0,"POCO","KETT",1
"50",118012809,2000,7,0,-1,"A",2,0,"POCO","KETT",1
"51",118012811,2000,7,0,-1,"A",0,0,"POCO","KETT",1
"52",118012812,2000,7,2000,0,"J",0,0,"POCO","KETT",1
"53",118012816,2000,8,2000,0,"J",0,0,"POCO","KETT",1
"54",118012817,2000,8,2000,0,"J",0,0,"POCO","KETT",1
"55",118012857,2001,6,2001,0,"J",0,0,"POCO","KETT",1
"56",118012864,2001,7,0,-1,"A",0,0,"POCO","KETT",1
"57",118012875,2001,7,2001,0,"J",0,0,"POCO","TWOM",1
"58",118012876,2001,7,2001,0,"J",0,0,"POCO","TWOM",1
"59",118012877,2001,7,0,-1,"A",0,0,"POCO","TWOM",1
"60",118012878,2001,7,2001,0,"J",0,0,"POCO","TWOM",1
"61",118012879,2001,7,2001,0,"J",0,0,"POCO","TWOM",1
"62",118012880,2001,7,2001,0,"J",0,0,"POCO","TWOM",1
"63",118012881,2001,7,0,-1,"A",0,0,"POCO","TWOM",1
"64",118012883,2001,8,2001,0,"J",0,0,"POCO","TWOM",1
"65",118012884,2001,8,2001,0,"J",0,0,"POCO","TWOM",1
"66",118012886,2001,8,0,-1,"A",0,0,"POCO","TWOM",1
"67",118012887,2001,8,0,-1,"A",0,0,"POCO","TWOM",1
"68",118012887,2002,6,0,-1,"A",2,0,"POCO","TWOM",1
"69",118012887,2002,7,0,-1,"A",2,0,"POCO","TWOM",1
"70",118012887,2004,6,0,-1,"A",2,0,"POCO","TWOM",1
"71",118012888,2001,8,2001,0,"J",0,0,"POCO","TWOM",1
"72",118012889,2001,8,0,-1,"A",0,4,"POCO","TWOM",1
"73",118012890,2001,8,2001,0,"J",0,0,"POCO","TWOM",1
"74",118012923,2002,8,2002,0,"J",0,0,"POCO","KETT",1
"75",118012928,2003,6,0,-1,"A",2,0,"POCO","KETT",1
"76",118012929,2003,6,0,-1,"A",0,3,"POCO","KETT",1
"77",118012930,2003,6,0,-1,"A",2,0,"POCO","KETT",1
"78",118012932,2003,8,0,-1,"A",0,0,"POCO","KETT",1
"79",118012936,2004,7,2004,0,"J",0,0,"POCO","KETT",1
"80",118012944,2005,6,0,-1,"A",0,4,"POCO","KETT",1
"81",118012945,2005,7,0,-1,"A",2,0,"POCO","KETT",1
"82",118012947,2005,7,2005,0,"J",0,0,"POCO","KETT",1
"83",118012948,2005,7,0,-1,"A",0,4,"POCO","KETT",1
"84",118012949,2005,7,2005,0,"J",0,0,"POCO","KETT",1
"85",118012952,2002,6,0,-1,"A",3,0,"POCO","TWOM",1
"86",118012956,2002,6,0,-1,"A",0,4,"POCO","TWOM",1
"87",118012976,2003,6,0,-1,"A",0,3,"POCO","TWOM",1
"88",118012976,2003,7,0,-1,"A",0,3,"POCO","TWOM",1
"89",118012979,2003,7,0,-1,"A",0,0,"POCO","TWOM",1
"90",118012983,2003,8,2003,0,"J",0,0,"POCO","TWOM",1
"91",118012984,2003,8,0,-1,"A",2,0,"POCO","TWOM",1
"92",118012985,2003,8,0,-1,"A",0,5,"POCO","TWOM",1
"93",118012987,2003,8,2003,0,"J",0,0,"POCO","TWOM",1
"94",118012988,2003,8,0,-1,"A",0,4,"POCO","TWOM",1
"95",118012989,2003,8,0,-1,"A",2,0,"POCO","TWOM",1
"96",118012991,2003,8,2003,0,"J",0,0,"POCO","TWOM",1
"97",118012992,2003,8,2003,0,"J",0,0,"POCO","TWOM",1
"98",118012993,2003,8,0,-1,"A",0,3,"POCO","TWOM",1
"99",118012994,2003,8,2003,0,"J",0,0,"POCO","TWOM",1
"100",118012995,2004,6,0,-1,"A",0,3,"POCO","TWOM",1
"101",118012995,2004,7,0,-1,"A",0,3,"POCO","TWOM",1
"102",118012995,2005,6,0,-1,"A",0,4,"POCO","TWOM",1
"103",118012996,2004,6,0,-1,"A",3,0,"POCO","TWOM",1
"104",118012996,2005,6,0,-1,"A",0,0,"POCO","TWOM",1
"105",120074404,1994,6,0,-1,"A",0,1,"LAHO","LAUR",1
"106",120074404,1994,6,0,-1,"A",0,2,"LAHO","LAUR",1
"107",120074405,1994,6,0,-1,"A",2,0,"LAHO","LAUR",1
"108",120074405,1997,6,0,-1,"A",1,NA,"LAHO","LAUR",1
"109",120074406,1994,7,1994,0,"J",0,NA,"LAHO","LAUR",1
"110",120074406,1994,7,1994,0,"J",0,0,"LAHO","LAUR",1
"111",120074409,1994,7,1994,0,"J",0,0,"LAHO","LAUR",1
"112",120074412,1994,8,1994,0,"J",NA,NA,"LAHO","LAUR",1
"113",120074422,1995,8,1995,0,"J",0,0,"LAHO","LAUR",1
"114",120074430,1996,6,0,-1,"A",1,0,"LAHO","LAUR",1
"115",120074430,1997,6,0,-1,"A",2,0,"LAHO","LAUR",1
"116",120074431,1996,6,0,-1,"A",0,5,"LAHO","LAUR",1
"117",120074433,1996,8,1996,0,"J",0,0,"LAHO","LAUR",1
"118",120074434,1996,8,0,-1,"A",0,0,"LAHO","LAUR",1
"119",120074435,1996,8,0,-1,"A",0,0,"LAHO","LAUR",1
"120",120074435,1998,6,0,-1,"A",0,2,"LAHO","LAUR",1
"121",120074436,1996,8,1996,0,"J",0,0,"LAHO","LAUR",1
"122",120074437,1996,8,0,-1,"A",0,0,"LAHO","LAUR",1
"123",120074442,1997,7,0,-1,"A",3,0,"LAHO","LAUR",1
"124",120074443,1997,7,1997,0,"J",0,0,"LAHO","LAUR",1
"125",120074444,1997,7,1997,0,"J",NA,NA,"LAHO","LAUR",1
"126",120074445,1997,8,0,-1,"A",0,0,"LAHO","LAUR",1
"127",120074448,1998,5,0,-1,"A",1,1,"LAHO","LAUR",1
"128",120074449,1998,6,0,-1,"A",0,1,"LAHO","LAUR",1
"129",120074449,1998,7,0,-1,"A",0,5,"LAHO","LAUR",1
"130",120074449,1999,7,0,-1,"A",NA,NA,"LAHO","LAUR",1
"131",120074450,1998,6,0,-1,"A",1,0,"LAHO","LAUR",1
"132",120074451,1998,6,1998,0,"J",0,0,"LAHO","LAUR",1
"133",120074452,1998,6,1998,0,"J",0,0,"LAHO","LAUR",1
"134",120074453,1998,6,1998,0,"J",0,0,"LAHO","LAUR",1
"135",120074456,1998,8,1998,0,"J",0,0,"LAHO","LAUR",1
"136",120074457,1999,8,0,-1,"A",0,0,"LAHO","LAUR",1
"137",120074457,2001,5,0,-1,"A",2,0,"LAHO","LAUR",1
"138",120074476,1999,6,0,-1,"A",0,2,"LAHO","LAUR",1
"139",120074477,1999,6,0,-1,"A",0,2,"LAHO","LAUR",1
"140",120074478,1999,6,0,-1,"A",0,2,"LAHO","LAUR",1
"141",120074487,2001,5,0,-1,"A",0,2,"LAHO","LAUR",1
"142",120074494,2001,7,2001,0,"J",0,0,"LAHO","LAUR",1
"143",120074495,2001,7,2001,0,"J",0,0,"LAHO","LAUR",1
"144",120074496,2001,7,0,-1,"A",1,5,"LAHO","LAUR",1
"145",128021900,2002,6,2002,0,"J",0,0,"CMAC","CMS1",1
"146",128021900,2003,7,2002,1,"A",0,0,"CMAC","CMS1",1
"147",148067037,1997,7,1997,0,"J",0,0,"AUDU","BFSW",1
"148",148067037,1997,8,1997,0,"J",0,0,"AUDU","BFSW",1
"149",148067038,1997,7,1997,0,"J",0,0,"AUDU","BFSW",1
"150",148067041,1997,8,1997,0,"J",0,0,"AUDU","BORR",1
"151",148067058,1997,8,0,-1,"A",0,5,"AUDU","BORR",1
"152",148067064,1997,8,0,-1,"A",0,0,"AUDU","BFSW",1
"153",148067067,1997,8,1997,0,"J",0,0,"AUDU","BFSW",1
"154",148067068,1997,8,0,-1,"A",0,0,"AUDU","BFSW",1
"155",148067071,1997,8,1997,0,"J",0,0,"AUDU","SACF",1
"156",148067072,1997,8,1997,0,"J",0,0,"AUDU","SACF",1
"157",148067079,1998,6,0,-1,"A",0,2,"AUDU","SACE",1
"158",148067079,1998,7,0,-1,"A",0,0,"AUDU","SACE",1
"159",148067083,1998,6,0,-1,"A",0,0,"AUDU","BORR",1
"160",148067086,1998,6,0,-1,"A",0,0,"AUDU","BORF",1
"161",148067089,1998,6,0,-1,"A",0,0,"AUDU","BFSW",1
"162",153069372,1994,5,1992,2,"A",1,NA,"LNER","LNER",1
"163",153081102,2002,6,0,-1,"A",0,4,"BUCK","BUHO",1
"164",153081102,2003,6,0,-1,"A",0,4,"BUCK","BUHO",1
"165",153081109,1997,7,0,-1,"A",0,1,"BUCK","BUHO",1
"166",153081117,1997,7,0,-1,"A",NA,NA,"BUCK","BUHO",1
"167",153081120,1997,7,0,-1,"A",0,0,"BUCK","BUHO",1
"168",153081121,1997,7,0,-1,"A",2,0,"BUCK","BUHO",1
"169",153081121,1999,5,0,-1,"A",1,0,"BUCK","BUHO",1
"170",153081123,1997,7,0,-1,"A",2,0,"BUCK","BUHO",1
"171",153081152,1998,6,0,-1,"A",0,2,"BUCK","BUHO",1
"172",153081153,1998,6,0,-1,"A",0,2,"BUCK","BUHO",1
"173",153081157,1998,7,1998,0,"J",0,0,"BUCK","BUHO",1
"174",153081158,1998,7,1998,0,"J",0,0,"BUCK","BUHO",1
"175",155114330,1999,6,0,-1,"A",0,4,"LNER","LNER",1
"176",155114330,1999,6,0,-1,"A",0,5,"LNER","LNER",1
"177",155114330,1999,7,0,-1,"A",0,5,"LNER","LNER",1
"178",155114355,1999,7,0,-1,"A",0,5,"LNER","LNER",1
"179",155114364,1999,8,1999,0,"J",0,0,"LNER","LNER",1
"180",155114365,1999,8,0,-1,"A",0,0,"LNER","LNER",1
"181",155114366,1999,8,1999,0,"J",0,0,"LNER","LNER",1
"182",155114367,1999,8,1999,0,"J",0,0,"LNER","LNER",1
"183",155114368,1999,8,1999,0,"J",0,0,"LNER","LNER",1
