"","band","captureyear","month","birthyear","actualage","agegroup","CP","BP","loc","station","freq"
"1",299,1994,7,0,-1,"A",NA,NA,"HOOD","SHOR",1
"2",779,1995,6,1995,0,"J",NA,NA,"SWIF","EALW",1
"3",792,1995,6,1995,0,"J",0,0,"BRAG","I113",1
"4",3949,2001,7,2001,0,"J",NA,NA,"WASS","WASS",1
"5",5031,2003,5,0,-1,"A",NA,4,"FOXF","FOXF",1
"6",5033,2003,5,2003,0,"J",NA,NA,"FOXF","FOXF",1
"7",5397,2005,8,0,-1,"A",NA,NA,"FTSL","GEHI",1
"8",6581,2009,6,0,-1,"A",0,0,"LDWF","NAT2",1
"9",6599,2008,7,0,-1,"A",NA,NA,"FOXF","FOXF",1
"10",131025001,1994,5,0,-1,"A",0,1,"FTSL","GEHI",1
"11",131025002,1994,5,0,-1,"A",0,1,"FTSL","GEHI",1
"12",131025003,1994,5,0,-1,"A",0,1,"FTSL","GEHI",1
"13",131025006,1994,5,0,-1,"A",2,0,"FTSL","GEHI",1
"14",131025006,1994,8,0,-1,"A",0,0,"FTSL","GEHI",1
"15",131025008,1994,5,0,-1,"A",0,0,"FTSL","GEHI",1
"16",131025009,1994,6,0,-1,"A",1,1,"FTSL","GEHI",1
"17",131025010,1994,6,0,-1,"A",1,3,"FTSL","GEHI",1
"18",131025011,1994,6,0,-1,"A",0,3,"FTSL","GEHI",1
"19",131025012,1994,6,0,-1,"A",0,3,"FTSL","GEHI",1
"20",131025013,1994,6,0,-1,"A",0,3,"FTSL","GEHI",1
"21",131025015,1994,6,1994,0,"J",2,1,"FTSL","GEHI",1
"22",131025015,1994,7,1994,0,"J",2,0,"FTSL","GEHI",1
"23",131025015,1994,8,1994,0,"J",0,0,"FTSL","GEHI",1
"24",131025020,1994,6,1994,0,"J",0,1,"FTSL","GEHI",1
"25",131025021,1994,6,1994,0,"J",0,0,"FTSL","GEHI",1
"26",131025022,1994,6,1994,0,"J",0,0,"FTSL","GEHI",1
"27",131025030,1994,7,0,-1,"A",1,0,"FTSL","GEHI",1
"28",131025031,1994,7,0,-1,"A",1,1,"FTSL","GEHI",1
"29",131025032,1994,7,1994,0,"J",0,0,"FTSL","GEHI",1
"30",131025034,1994,7,1994,0,"J",1,0,"FTSL","GEHI",1
"31",142055121,2006,5,0,-1,"A",0,2,"DIVI","BEAR",1
"32",142055133,2006,6,0,-1,"A",2,0,"DIVI","BEAR",1
"33",142055134,2006,6,0,-1,"A",1,2,"DIVI","BEAR",1
"34",142055138,2006,7,0,-1,"A",0,5,"DIVI","BEAR",1
"35",142055141,2007,5,0,-1,"A",2,1,"DIVI","BEAR",1
"36",142055141,2008,7,0,-1,"A",0,0,"DIVI","BEAR",1
"37",142055149,2007,7,2007,0,"J",NA,NA,"DIVI","BEAR",1
"38",142055149,2007,7,2007,0,"J",0,0,"DIVI","BEAR",1
"39",142055150,2007,7,2007,0,"J",NA,NA,"DIVI","BEAR",1
"40",142055156,2008,6,2008,0,"J",0,0,"DIVI","BEAR",1
"41",142055157,2008,6,2008,0,"J",0,0,"DIVI","BEAR",1
"42",142055160,2008,7,2008,0,"J",0,0,"DIVI","BEAR",1
"43",152107351,1998,7,1998,0,"J",0,0,"CRAN","WICE",1
"44",152107353,1998,8,0,-1,"A",0,0,"CRAN","WICE",1
"45",154038808,1999,5,0,-1,"A",2,NA,"HOPE","FL--",1
"46",155141429,2001,5,0,-1,"A",0,2,"HOOD","BROO",1
"47",155141652,2000,6,0,-1,"A",0,2,"CRAN","SEED",1
"48",155142008,2002,5,0,-1,"A",0,0,"JEFF","AR27",1
"49",160110187,2012,6,2012,0,"J",0,0,"CRAN","EABO",1
"50",165020015,1998,7,0,-1,"A",0,5,"DIVI","BEAR",1
"51",165020018,1999,5,0,-1,"A",2,0,"DIVI","BEAR",1
"52",165020019,1999,5,0,-1,"A",0,4,"DIVI","BEAR",1
"53",165020031,1999,7,0,-1,"A",1,0,"DIVI","BEAR",1
