"","band","captureyear","month","birthyear","actualage","agegroup","CP","BP","loc","station","freq"
"1",263,1994,7,0,-1,"A",0,2,"CRAN","SULP",1
"2",696,1995,7,0,-1,"A",NA,NA,"LNER","LNER",1
"3",703,1995,8,1995,0,"J",0,0,"LAHO","LAUR",1
"4",752,1995,7,0,-1,"A",0,4,"RILE","ESDR",1
"5",3016,1998,7,0,-1,"A",NA,NA,"AUDU","BFSW",1
"6",3814,2001,7,0,-1,"A",2,0,"SSNC","SSNC",1
"7",4263,2002,7,0,-1,"A",0,3,"KNOX","OHRI",1
"8",4286,2002,5,0,-1,"A",NA,NA,"JEFF","AR64",1
"9",5056,2003,6,0,-1,"A",2,NA,"WING","PUNK",1
"10",5057,2003,6,0,-1,"A",NA,4,"WING","PUNK",1
"11",5231,2003,5,0,-1,"A",NA,NA,"LAHO","LAUR",1
"12",5270,2002,7,2002,0,"J",0,0,"FIVE","EANY",1
"13",5325,2003,8,0,-1,"A",NA,NA,"TRAC","HOFF",1
"14",5358,2002,6,0,-1,"A",2,0,"BBBO","KAIS",1
"15",5564,2004,6,0,-1,"A",3,0,"WING","PUNK",1
"16",5637,2004,6,0,-1,"A",NA,NA,"FOXF","FOXF",1
"17",5997,2005,5,0,-1,"A",3,0,"LDWF","SHW2",1
"18",6139,2006,7,0,-1,"A",0,4,"ATON","ATOS",1
"19",6171,2007,7,2007,0,"J",NA,NA,"HOPE","FL--",1
"20",6589,2007,7,0,-1,"A",NA,NA,"MUIS","JOKU",1
"21",6589,2012,6,0,-1,"A",3,0,"CRAN","SULP",1
"22",6596,2008,6,0,-1,"A",NA,0,"PULS","PULS",1
"23",11268910,2002,7,0,-1,"A",1,0,"LAHO","LAUR",1
"24",81069050,1995,7,0,-1,"A",0,2,"RILE","ESDR",1
"25",81069051,1995,7,0,-1,"A",1,0,"RILE","ESDR",1
"26",81069051,1995,7,0,-1,"A",2,0,"RILE","ESDR",1
"27",81069051,1996,6,0,-1,"A",2,0,"RILE","ESDR",1
"28",81069051,1996,7,0,-1,"A",2,0,"RILE","ESDR",1
"29",81069054,1995,7,0,-1,"A",1,0,"RILE","ESDR",1
"30",81069065,1995,7,0,-1,"A",1,0,"RILE","TICR",1
"31",81069082,1995,7,0,-1,"A",0,0,"RILE","TICR",1
"32",81069085,1995,7,0,-1,"A",0,2,"RILE","ESDR",1
"33",81069086,1995,7,0,-1,"A",0,3,"RILE","ESDR",1
"34",81069087,1995,7,1995,0,"J",0,0,"RILE","ESDR",1
"35",81069090,1995,7,1995,0,"J",0,0,"RILE","ESDR",1
"36",81069091,1995,7,0,-1,"A",0,2,"RILE","ESDR",1
"37",81069099,1995,8,0,-1,"A",0,0,"RILE","ESDR",1
"38",105032233,1994,5,0,-1,"A",3,NA,"LNER","LNER",1
"39",105032279,1994,6,1993,1,"A",3,NA,"LNER","LNER",1
"40",112068910,2002,7,0,-1,"A",2,0,"LAHO","LAUR",1
"41",112068932,2003,8,2003,0,"J",0,0,"LAHO","LAUR",1
"42",112068941,2004,7,0,-1,"A",2,0,"LAHO","LAUR",1
"43",118012802,2000,6,0,-1,"A",3,0,"POCO","KETT",1
"44",118012814,2000,8,2000,0,"J",0,0,"POCO","KETT",1
"45",118012815,2000,8,2000,0,"J",0,0,"POCO","KETT",1
"46",118012815,2001,6,2000,1,"A",3,0,"POCO","KETT",1
"47",118012853,2001,6,0,-1,"A",3,0,"POCO","KETT",1
"48",118012858,2001,6,0,-1,"A",3,0,"POCO","SKYT",1
"49",118012858,2002,7,0,-1,"A",3,0,"POCO","SKYT",1
"50",118012859,2001,6,0,-1,"A",3,0,"POCO","SKYT",1
"51",118012865,2001,7,0,-1,"A",3,0,"POCO","TWOM",1
"52",118012867,2001,7,2001,0,"J",0,0,"POCO","TWOM",1
"53",118012868,2001,7,0,-1,"A",2,0,"POCO","TWOM",1
"54",118012869,2001,7,0,-1,"A",0,3,"POCO","TWOM",1
"55",118012870,2001,7,2001,0,"J",0,0,"POCO","TWOM",1
"56",118012871,2001,7,0,-1,"A",2,0,"POCO","TWOM",1
"57",118012872,2001,7,2001,0,"J",0,0,"POCO","TWOM",1
"58",118012873,2001,7,2001,0,"J",0,0,"POCO","TWOM",1
"59",118012874,2001,7,0,-1,"A",1,0,"POCO","TWOM",1
"60",118012882,2001,7,0,-1,"A",0,0,"POCO","TWOM",1
"61",118012891,2001,8,0,-1,"A",0,0,"POCO","TWOM",1
"62",118012892,2001,8,2001,0,"J",0,0,"POCO","TWOM",1
"63",118012919,2002,7,0,-1,"A",0,2,"POCO","SKYT",1
"64",118012922,2002,8,0,-1,"A",0,0,"POCO","SKYT",1
"65",118012935,2004,7,2004,0,"J",0,0,"POCO","KETT",1
"66",118012937,2004,7,0,-1,"A",3,0,"POCO","SKYT",1
"67",118012938,2004,8,2004,0,"J",0,0,"POCO","KETT",1
"68",118012943,2005,6,0,-1,"A",0,3,"POCO","KETT",1
"69",118012964,2002,8,0,-1,"A",2,0,"POCO","TWOM",1
"70",118012964,2003,7,0,-1,"A",3,0,"POCO","TWOM",1
"71",118012982,2003,7,0,-1,"A",0,5,"POCO","TWOM",1
"72",118012986,2003,8,2003,0,"J",0,0,"POCO","TWOM",1
"73",118013000,2004,7,0,-1,"A",2,0,"POCO","TWOM",1
"74",120074426,1995,8,1995,0,"J",0,0,"LAHO","LAUR",1
"75",120074479,1999,8,0,-1,"A",0,4,"LAHO","LAUR",1
"76",120074485,2001,5,0,-1,"A",0,0,"LAHO","LAUR",1
"77",120074497,2001,7,2001,0,"J",0,0,"LAHO","LAUR",1
"78",142055110,2005,6,0,-1,"A",2,0,"DIVI","BEAR",1
"79",146014411,1998,7,0,-1,"A",NA,3,"HOPE","FL--",1
"80",148067032,1997,7,0,-1,"A",0,4,"AUDU","MWSF",1
"81",148067033,1997,7,1997,0,"J",0,0,"AUDU","BFSW",1
"82",148067033,1998,7,1997,1,"A",0,0,"AUDU","BFSW",1
"83",148067045,1997,8,1997,0,"J",0,0,"AUDU","BORR",1
"84",148067047,1997,8,1997,0,"J",0,0,"AUDU","BORR",1
"85",148067049,1997,8,1997,0,"J",0,0,"AUDU","BORR",1
"86",148067057,1997,8,0,-1,"A",0,4,"AUDU","BORR",1
"87",148067057,1998,6,0,-1,"A",0,2,"AUDU","BORR",1
