"","band","captureyear","month","birthyear","actualage","agegroup","CP","BP","loc","station","freq"
"1",296,1994,5,0,-1,"A",NA,NA,"HOOD","ENGI",1
"2",773,1995,8,1995,0,"J",NA,NA,"SWIF","EALW",1
"3",784,1995,6,1995,0,"J",0,0,"HOOD","ENGI",1
"4",1245,1996,7,0,-1,"A",NA,NA,"SWIF","EALW",1
"5",1256,1996,5,0,-1,"A",NA,NA,"JEFF","AR64",1
"6",1612,1997,7,1997,0,"J",0,0,"HOOD","ENGI",1
"7",1615,1997,6,0,-1,"A",3,0,"SWIF","PIPE",1
"8",1617,1997,7,1997,0,"J",0,0,"SWIF","EALW",1
"9",1901,1998,7,1998,0,"J",0,0,"CRAN","SULP",1
"10",1913,1998,8,1998,0,"J",NA,NA,"HOOD","SHOR",1
"11",1916,1998,5,0,-1,"A",0,0,"SWIF","WCLO",1
"12",2043,1998,8,1998,0,"J",NA,NA,"HOOD","SHOR",1
"13",2045,1998,7,1998,0,"J",0,0,"SWIF","WCLO",1
"14",3369,2000,7,0,-1,"A",NA,NA,"HOOD","TAYL",1
"15",3937,2001,8,0,-1,"A",NA,NA,"LNER","LNER",1
"16",4275,2002,6,2002,0,"J",0,0,"SWIF","WCLO",1
"17",4485,2001,7,2001,0,"J",0,0,"SPAL","SPAL",1
"18",5061,2004,6,0,-1,"A",0,2,"SWIF","DROP",1
"19",5067,2004,6,2004,0,"J",NA,NA,"HOOD","VIRE",1
"20",5069,2004,6,2004,0,"J",0,0,"HOOD","TAYL",1
"21",5071,2004,7,2004,0,"J",0,0,"CRAN","SULP",1
"22",5261,2005,6,2005,0,"J",0,0,"SWIF","DROP",1
"23",5291,2003,7,0,-1,"A",NA,NA,"WASS","WASS",1
"24",5292,2003,7,2003,0,"J",NA,NA,"WASS","WASS",1
"25",5396,2005,5,0,-1,"A",NA,NA,"FTSL","GEHI",1
"26",5520,2004,5,0,-1,"A",NA,NA,"ICHA","ICHA",1
"27",5539,2004,8,2004,0,"J",NA,NA,"POWD","POWD",1
"28",5827,2004,6,2004,0,"J",0,0,"LAHO","LAUR",1
"29",5837,2007,7,2007,0,"J",NA,NA,"SWIF","EALE",1
"30",5962,2004,7,0,-1,"A",0,4,"LDWF","SHW1",1
"31",6185,2008,7,2008,0,"J",NA,NA,"BRAG","S110",1
"32",6278,2007,5,2007,0,"J",1,0,"LDWF","SHW2",1
"33",6288,2008,5,0,-1,"A",NA,NA,"LDWF","SHW1",1
"34",6569,2012,8,2012,0,"J",0,0,"JEFF","AR31",1
"35",6593,2008,5,0,-1,"A",NA,NA,"PULS","PULS",1
"36",6594,2008,5,0,-1,"A",NA,NA,"PULS","PULS",1
"37",6597,2008,5,0,-1,"A",NA,NA,"FTSL","WCCR",1
"38",6602,2010,5,0,-1,"A",NA,NA,"FOXF","FOXF",1
"39",6605,2009,5,0,-1,"A",NA,NA,"PULS","PULS",1
