"","band","captureyear","month","birthyear","actualage","agegroup","CP","BP","loc","station","freq"
"1",3402,2000,7,2000,0,"J",0,0,"JEFF","AR31",1
"2",5959,2004,6,0,-1,"A",0,4,"LDWF","SHW1",1
"3",5964,2004,5,0,-1,"A",0,4,"LDWF","SHW2",1
"4",5994,2005,7,0,-1,"A",0,3,"LDWF","SHW2",1
"5",5996,2005,5,0,-1,"A",3,0,"LDWF","SHW2",1
"6",6003,2005,5,0,-1,"A",3,0,"LDWF","SHW2",1
"7",6005,2005,5,0,-1,"A",3,0,"LDWF","SHW2",1
"8",6006,2005,5,0,-1,"A",1,3,"LDWF","SHW2",1
"9",6011,2005,6,0,-1,"A",3,0,"LDWF","SHW2",1
"10",6014,2006,6,0,-1,"A",0,3,"LDWF","SHW2",1
"11",6212,2005,6,0,-1,"A",2,0,"LDWF","GSL2",1
"12",6290,2008,6,0,-1,"A",NA,NA,"LDWF","SHW2",1
"13",79137405,2012,6,0,-1,"A",0,3,"JEFF","AR31",1
"14",79137406,2012,6,0,-1,"A",3,0,"JEFF","AR31",1
"15",79137415,2012,7,0,-1,"A",0,3,"JEFF","AR31",1
"16",79137416,2012,7,0,-1,"A",2,0,"JEFF","AR31",1
"17",79137439,2012,7,2012,0,"J",0,0,"JEFF","AR31",1
"18",79137439,2012,8,2012,0,"J",0,0,"JEFF","AR31",1
"19",79137440,2012,7,2012,0,"J",0,0,"JEFF","AR31",1
"20",79137440,2012,8,2012,0,"J",NA,NA,"JEFF","AR31",1
"21",79137440,2012,8,2012,0,"J",0,0,"JEFF","AR31",1
"22",98107837,2001,6,0,-1,"A",0,3,"TRAC","HOFF",1
"23",98107853,2001,6,0,-1,"A",1,0,"TRAC","HOFF",1
"24",115219450,2007,6,0,-1,"A",3,0,"CRAN","SULP",1
"25",152105344,1995,7,0,-1,"A",2,0,"RILE","ESDR",1
"26",152106071,1995,7,0,-1,"A",0,1,"HOOD","TABR",1
"27",152106097,1996,5,0,-1,"A",0,3,"HOOD","ENGI",1
"28",152106403,1994,5,0,-1,"A",0,NA,"JEFF","AR31",1
"29",152106403,1995,6,0,-1,"A",0,2,"JEFF","AR31",1
"30",152106403,1995,7,0,-1,"A",0,4,"JEFF","AR31",1
"31",152106404,1994,5,0,-1,"A",1,0,"JEFF","AR31",1
"32",152106404,1994,6,0,-1,"A",0,0,"JEFF","AR31",1
"33",152106404,1995,6,0,-1,"A",0,0,"JEFF","AR31",1
"34",152106405,1994,5,0,-1,"A",0,0,"JEFF","AR31",1
"35",152106407,1994,5,0,-1,"A",0,0,"JEFF","AR54",1
"36",152106415,1994,6,0,-1,"A",0,3,"JEFF","AR31",1
"37",152106415,1994,6,0,-1,"A",0,4,"JEFF","AR31",1
"38",152106428,1994,6,0,-1,"A",1,0,"JEFF","AR54",1
"39",152106429,1994,6,0,-1,"A",0,0,"JEFF","AR54",1
"40",152106429,1994,7,0,-1,"A",2,0,"JEFF","AR54",1
"41",152106430,1994,6,0,-1,"A",1,0,"JEFF","AR54",1
"42",152106430,1995,6,0,-1,"A",2,0,"JEFF","AR54",1
"43",152106434,1994,6,0,-1,"A",0,0,"JEFF","AR31",1
"44",152106434,1994,7,0,-1,"A",2,0,"JEFF","AR31",1
"45",152106435,1994,6,0,-1,"A",0,0,"JEFF","AR31",1
"46",152106436,1994,6,0,-1,"A",0,4,"JEFF","AR54",1
"47",152106441,1994,7,0,-1,"A",0,4,"JEFF","AR54",1
