"","band","captureyear","month","birthyear","actualage","agegroup","CP","BP","loc","station","freq"
"1",238,1994,7,0,-1,"A",0,3,"RILE","ESDR",1
"2",239,1994,6,0,-1,"A",0,3,"RILE","ESDR",1
"3",240,1994,6,0,-1,"A",0,0,"RILE","ESDR",1
"4",241,1994,6,0,-1,"A",NA,NA,"RILE","ESDR",1
"5",295,1994,5,0,-1,"A",NA,NA,"HOOD","TAYL",1
"6",504,1994,6,0,-1,"A",3,NA,"WAWO","WAWO",1
"7",753,1995,8,1995,0,"J",NA,NA,"RILE","ESDR",1
"8",763,1995,8,1995,0,"J",0,0,"CRAN","SULP",1
"9",793,1995,6,0,-1,"A",2,0,"BRAG","I104",1
"10",931,1995,6,0,-1,"A",NA,NA,"LNER","LNER",1
"11",1259,1996,7,1996,0,"J",0,0,"RILE","ESDR",1
"12",1369,1996,8,1996,0,"J",1,0,"LAHO","LAUR",1
"13",1371,1996,8,1996,0,"J",NA,NA,"HOPE","FL--",1
"14",1731,1997,5,0,-1,"A",NA,NA,"CBWP","CBWP",1
"15",1732,1997,6,0,-1,"A",NA,NA,"CBWP","CBWP",1
"16",1796,1997,7,0,-1,"A",1,0,"AUDU","BFSW",1
"17",3375,2000,6,0,-1,"A",NA,3,"RILE","ESDR",1
"18",3829,2001,8,2001,0,"J",0,0,"JEFF","AR31",1
"19",3936,2001,6,0,-1,"A",NA,NA,"LNER","LNER",1
"20",4292,2001,7,2001,0,"J",0,0,"BRAG","I104",1
"21",4392,2001,8,2001,0,"J",NA,NA,"HOPE","FL--",1
"22",4464,2001,8,2001,0,"J",NA,NA,"BUCK","WIBR",1
"23",5052,2002,7,0,-1,"A",NA,NA,"CASP","MAP1",1
"24",5232,2003,7,2003,0,"J",NA,NA,"LAHO","LAUR",1
"25",5267,2001,7,2001,0,"J",0,0,"FIVE","EANY",1
"26",5268,2001,7,2001,0,"J",0,0,"FIVE","EANY",1
"27",5290,2004,7,2004,0,"J",0,0,"MARV","BEAV",1
"28",5622,2005,8,0,-1,"A",NA,NA,"HOPE","FL--",1
"29",5835,2005,8,0,-1,"A",2,0,"FIVE","EANY",1
"30",5872,2004,8,2004,0,"J",NA,NA,"BUCK","WIBR",1
"31",6147,2007,8,2007,0,"J",NA,NA,"CMAC","CMS1",1
"32",6148,2007,8,0,-1,"A",NA,NA,"CMAC","CMS1",1
"33",6296,2008,7,0,-1,"A",NA,2,"CMAC","CMS1",1
"34",6297,2008,7,2008,0,"J",NA,NA,"HOPE","FL--",1
"35",6309,2008,6,0,-1,"A",2,NA,"CASP","MAP1",1
"36",6607,2007,7,0,-1,"A",NA,NA,"ASRP","ASRP",1
"37",6608,2007,8,0,-1,"A",NA,NA,"ASRP","ASRP",1
"38",6622,2012,7,0,-1,"A",NA,NA,"PULS","PULS",1
"39",78145661,2002,6,0,-1,"A",2,0,"CMAC","CMS1",1
"40",78145662,2002,6,0,-1,"A",2,0,"CMAC","CMS1",1
"41",78145670,2002,7,0,-1,"A",2,0,"CMAC","CMS1",1
"42",78145671,2002,7,2002,0,"J",0,0,"CMAC","CMS1",1
"43",78145672,2002,7,2002,0,"J",0,0,"CMAC","CMS1",1
"44",78145673,2002,7,2002,0,"J",0,0,"CMAC","CMS1",1
"45",78145674,2002,7,2002,0,"J",0,0,"CMAC","CMS1",1
"46",78145675,2002,7,2002,0,"J",0,0,"CMAC","CMS1",1
"47",78145676,2002,7,2002,0,"J",0,0,"CMAC","CMS1",1
"48",78145676,2002,8,2002,0,"J",0,0,"CMAC","CMS1",1
"49",78145677,2002,7,2002,0,"J",0,0,"CMAC","CMS1",1
"50",78145678,2002,7,2002,0,"J",0,0,"CMAC","CMS1",1
"51",78145679,2002,7,2002,0,"J",0,0,"CMAC","CMS1",1
"52",78145680,2002,7,2002,0,"J",0,0,"CMAC","CMS1",1
"53",78145681,2002,8,0,-1,"A",0,0,"CMAC","CMS1",1
"54",78145682,2002,8,0,-1,"A",0,0,"CMAC","CMS1",1
"55",78145684,2002,8,2002,0,"J",0,0,"CMAC","CMS1",1
"56",78145701,2003,6,0,-1,"A",3,NA,"CMAC","CMS1",1
"57",78145705,2003,7,0,-1,"A",1,NA,"CMAC","CMS1",1
"58",78145706,2003,7,2003,0,"J",NA,NA,"CMAC","CMS1",1
"59",78145707,2003,7,0,-1,"A",2,NA,"CMAC","CMS1",1
"60",78145708,2003,7,2003,0,"J",NA,NA,"CMAC","CMS1",1
"61",78145709,2003,7,2003,0,"J",NA,NA,"CMAC","CMS1",1
"62",78145710,2003,7,2003,0,"J",NA,NA,"CMAC","CMS1",1
"63",78145711,2003,7,2003,0,"J",NA,NA,"CMAC","CMS1",1
"64",78145712,2003,8,2003,0,"J",NA,NA,"CMAC","CMS1",1
"65",78145713,2003,8,2003,0,"J",NA,NA,"CMAC","CMS1",1
"66",78145714,2003,8,0,-1,"A",NA,NA,"CMAC","CMS1",1
"67",78145715,2003,8,2003,0,"J",NA,NA,"CMAC","CMS1",1
"68",78145716,2003,8,2003,0,"J",NA,NA,"CMAC","CMS1",1
"69",78145717,2003,8,2003,0,"J",NA,NA,"CMAC","CMS1",1
"70",78145718,2003,8,2003,0,"J",NA,NA,"CMAC","CMS1",1
"71",78145732,2004,7,0,-1,"A",0,0,"CMAC","CMS1",1
"72",78145734,2004,7,2004,0,"J",NA,NA,"CMAC","CMS1",1
"73",78145736,2004,7,2004,0,"J",NA,NA,"CMAC","CMS1",1
"74",78145738,2004,7,2004,0,"J",NA,NA,"CMAC","CMS1",1
"75",78145739,2004,7,2004,0,"J",NA,NA,"CMAC","CMS1",1
"76",78145740,2004,7,2004,0,"J",NA,NA,"CMAC","CMS1",1
"77",78145741,2004,7,2004,0,"J",NA,NA,"CMAC","CMS1",1
"78",78145743,2004,7,2004,0,"J",NA,NA,"CMAC","CMS1",1
"79",78145744,2004,7,2004,0,"J",NA,NA,"CMAC","CMS1",1
"80",78145745,2004,8,2004,0,"J",NA,NA,"CMAC","CMS1",1
"81",78145746,2004,8,2004,0,"J",NA,NA,"CMAC","CMS1",1
"82",78145753,2005,6,0,-1,"A",2,NA,"CMAC","CMS1",1
"83",78145754,2005,6,0,-1,"A",NA,4,"CMAC","CMS1",1
"84",78145757,2005,6,0,-1,"A",3,NA,"CMAC","CMS1",1
"85",78145764,2005,7,2005,0,"J",NA,NA,"CMAC","CMS1",1
"86",78145766,2005,7,2005,0,"J",NA,NA,"CMAC","CMS1",1
"87",78145767,2005,8,2005,0,"J",NA,NA,"CMAC","CMS1",1
"88",78145771,2006,6,0,-1,"A",3,0,"CMAC","CMS1",1
"89",78145773,2006,6,0,-1,"A",2,NA,"CMAC","CMS1",1
"90",78145776,2006,6,0,-1,"A",1,0,"CMAC","CMS1",1
"91",78145777,2006,6,0,-1,"A",0,4,"CMAC","CMS1",1
"92",78145778,2006,7,2006,0,"J",NA,NA,"CMAC","CMS1",1
