"","band","captureyear","month","birthyear","actualage","agegroup","CP","BP","loc","station","freq"
"1",722,1995,6,0,-1,"A",NA,NA,"CONG","CONG",1
"2",1496,1996,8,1996,0,"J",0,0,"BMNC","BMNC",1
"3",3105,1999,7,0,-1,"A",3,0,"CRAN","SEED",1
"4",6277,2007,7,0,-1,"A",NA,NA,"LDWF","SHW2",1
"5",6292,2008,6,0,-1,"A",0,3,"LDWF","NAT2",1
"6",94099967,1994,7,0,-1,"A",1,NA,"CONG","CONG",1
"7",94099971,1994,8,0,-1,"A",0,NA,"CONG","CONG",1
"8",112068944,2005,6,0,-1,"A",3,0,"LAHO","LAUR",1
"9",120074432,1996,8,1996,0,"J",0,0,"LAHO","LAUR",1
"10",142055154,2008,5,0,-1,"A",2,0,"DIVI","BEAR",1
"11",154095948,2010,7,0,-1,"A",0,0,"LDWF","GSL1",1
"12",155006848,1994,5,0,-1,"A",2,NA,"CONG","CONG",1
"13",155006875,1995,5,0,-1,"A",2,0,"CONG","CONG",1
"14",155006875,1998,6,0,-1,"A",2,NA,"CONG","CONG",1
"15",155006880,1994,5,0,-1,"A",NA,2,"CONG","CONG",1
"16",155006890,1994,5,0,-1,"A",2,NA,"CONG","CONG",1
"17",155006890,1995,5,0,-1,"A",3,0,"CONG","CONG",1
"18",155006890,1995,6,0,-1,"A",3,0,"CONG","CONG",1
"19",155006890,1996,5,0,-1,"A",NA,NA,"CONG","CONG",1
"20",155006890,1997,5,0,-1,"A",2,NA,"CONG","CONG",1
"21",155006890,1997,6,0,-1,"A",1,NA,"CONG","CONG",1
"22",155006890,1997,6,0,-1,"A",3,NA,"CONG","CONG",1
"23",155006890,1998,5,0,-1,"A",2,NA,"CONG","CONG",1
"24",155006890,1999,6,0,-1,"A",3,NA,"CONG","CONG",1
"25",155006896,1994,6,0,-1,"A",3,NA,"CONG","CONG",1
"26",155141628,2000,6,0,-1,"A",0,2,"CRAN","SULP",1
"27",155141944,2000,7,0,-1,"A",0,0,"CRAN","EABO",1
"28",155141963,2000,7,0,-1,"A",2,0,"CRAN","SULP",1
"29",155141989,2000,7,2000,0,"J",0,0,"CRAN","SULP",1
"30",155142041,2002,6,0,-1,"A",0,2,"JEFF","AR27",1
"31",155142041,2002,7,0,-1,"A",0,2,"JEFF","AR27",1
"32",160109900,2007,7,0,-1,"A",0,3,"CRAN","AR14",1
"33",160109943,2007,7,2007,0,"J",0,0,"KNOX","CEDA",1
"34",165020047,2001,6,0,-1,"A",0,4,"DIVI","BEAR",1
"35",165147091,2007,6,0,-1,"A",0,4,"BRAG","S110",1
"36",165147929,2002,7,2002,0,"J",0,0,"CRAN","SULP",1
"37",165147935,2002,7,0,-1,"A",0,5,"CRAN","SULP",1
"38",165147944,2002,7,2002,0,"J",0,0,"CRAN","SULP",1
"39",165147952,2002,7,2002,0,"J",0,0,"CRAN","WICE",1
"40",165147954,2002,7,2002,0,"J",0,0,"CRAN","WICE",1
"41",165147958,2002,7,2002,0,"J",0,0,"CRAN","SULP",1
"42",165147959,2002,7,2002,0,"J",0,0,"CRAN","SULP",1
"43",165165061,2002,6,0,-1,"A",3,0,"SPAL","SPAL",1
"44",165165064,2002,6,0,-1,"A",2,0,"SPAL","SPAL",1
"45",165165099,2003,5,0,-1,"A",3,0,"SPAL","SPAL",1
"46",165165099,2004,5,0,-1,"A",3,0,"SPAL","SPAL",1
"47",167006897,2005,6,0,-1,"A",3,0,"LDWF","GSL1",1
"48",167114170,2001,7,0,-1,"A",3,0,"AUDU","BORR",1
"49",169186101,2003,5,0,-1,"A",3,0,"SPAL","SPAL",1
"50",169186110,2003,6,0,-1,"A",1,4,"SPAL","SPAL",1
"51",169186110,2004,5,0,-1,"A",0,1,"SPAL","SPAL",1
"52",169186110,2004,6,0,-1,"A",1,2,"SPAL","SPAL",1
"53",169186120,2003,7,0,-1,"A",1,0,"SPAL","SPAL",1
"54",169186124,2003,7,0,-1,"A",1,0,"SPAL","SPAL",1
"55",173050044,1995,6,0,-1,"A",3,0,"DIVI","BEAR",1
"56",174141812,2000,7,0,-1,"A",1,0,"BRAG","I104",1
"57",174141914,2000,7,0,-1,"A",3,0,"BRAG","I113",1
"58",174141949,2001,6,0,-1,"A",0,4,"BRAG","I113",1
"59",174141957,2001,7,0,-1,"A",1,0,"BRAG","S114",1
"60",177118782,2004,6,0,-1,"A",2,0,"KNOX","LDLA",1
"61",177118796,2004,7,2004,0,"J",0,0,"KNOX","CEDA",1
"62",185123132,2004,7,2004,0,"J",0,0,"CRAN","WICE",1
"63",185123167,2004,8,2004,0,"J",0,0,"CRAN","WICE",1
"64",185123172,2004,8,2004,0,"J",0,0,"CRAN","WICE",1
"65",185126859,2005,7,0,-1,"A",0,4,"CRAN","WICE",1
"66",185128783,2012,6,0,-1,"A",0,4,"CRAN","SULP",1
"67",185128788,2012,6,2012,0,"J",0,0,"CRAN","SULP",1
"68",185133186,2007,6,0,-1,"A",3,0,"CRAN","AR14",1
"69",185176674,2006,5,0,-1,"A",0,4,"LDWF","NAT1",1
"70",185176674,2006,6,0,-1,"A",0,4,"LDWF","NAT1",1
"71",185176676,2006,5,0,-1,"A",3,0,"LDWF","NAT1",1
"72",185176684,2006,5,0,-1,"A",0,2,"LDWF","NAT1",1
"73",185176684,2006,6,0,-1,"A",0,3,"LDWF","NAT1",1
"74",185176684,2006,6,0,-1,"A",0,4,"LDWF","NAT1",1
"75",185176684,2006,7,0,-1,"A",0,0,"LDWF","NAT1",1
"76",186039857,1996,6,0,-1,"A",2,0,"BMNC","BMNC",1
"77",186039864,1996,6,0,-1,"A",3,0,"BMNC","BMNC",1
"78",186039864,1996,7,0,-1,"A",2,0,"BMNC","BMNC",1
"79",186039864,1996,7,0,-1,"A",3,0,"BMNC","BMNC",1
"80",186039864,1997,6,0,-1,"A",2,0,"BMNC","BMNC",1
"81",186039864,1998,6,0,-1,"A",3,0,"BMNC","BMNC",1
"82",186039864,1999,6,0,-1,"A",3,0,"BMNC","BMNC",1
"83",186039864,1999,7,0,-1,"A",2,0,"BMNC","BMNC",1
"84",186039864,2000,6,0,-1,"A",2,0,"BMNC","BMNC",1
"85",186039864,2000,7,0,-1,"A",3,0,"BMNC","BMNC",1
"86",186039871,1996,6,0,-1,"A",0,4,"BMNC","BMNC",1
"87",186039871,1997,6,0,-1,"A",0,2,"BMNC","BMNC",1
"88",186039871,1997,7,0,-1,"A",0,4,"BMNC","BMNC",1
"89",186039871,1997,8,0,-1,"A",0,3,"BMNC","BMNC",1
"90",186039872,1996,6,0,-1,"A",2,0,"BMNC","BMNC",1
"91",186039875,1996,6,0,-1,"A",2,0,"BMNC","BMNC",1
"92",186039875,1996,7,0,-1,"A",2,0,"BMNC","BMNC",1
"93",186039882,1996,7,0,-1,"A",3,0,"BMNC","BMNC",1
"94",186039914,1996,8,0,-1,"A",0,0,"BMNC","BMNC",1
"95",186039920,1996,8,0,-1,"A",0,0,"BMNC","BMNC",1
"96",191006023,1998,6,0,-1,"A",3,0,"CRAN","AR14",1
"97",191006068,1998,7,0,-1,"A",0,1,"CRAN","SULP",1
"98",191006090,1998,7,0,-1,"A",0,0,"CRAN","SULP",1
"99",191006152,1999,6,0,-1,"A",0,4,"CRAN","SULP",1
"100",191006188,1999,6,0,-1,"A",0,3,"CRAN","AR14",1
"101",191006189,1999,6,0,-1,"A",0,4,"CRAN","AR14",1
"102",192135844,2006,5,0,-1,"A",2,0,"LDWF","GSL1",1
"103",192135879,2006,6,0,-1,"A",0,0,"LDWF","NAT1",1
"104",194019524,1994,5,0,-1,"A",3,NA,"CONG","CONG",1
"105",194019533,1994,5,0,-1,"A",3,NA,"CONG","CONG",1
"106",194019535,1994,5,0,-1,"A",NA,2,"CONG","CONG",1
"107",194019535,1996,5,0,-1,"A",NA,2,"CONG","CONG",1
"108",194019536,1994,5,0,-1,"A",NA,3,"CONG","CONG",1
"109",194019543,1994,6,0,-1,"A",NA,2,"CONG","CONG",1
"110",194019546,1994,6,0,-1,"A",3,NA,"CONG","CONG",1
"111",194019552,1994,6,0,-1,"A",3,NA,"CONG","CONG",1
"112",194019556,1994,6,0,-1,"A",NA,2,"CONG","CONG",1
