"","station","loc"
"1","AR14","CRAN"
"2","AR16","JEFF"
"3","AR27","JEFF"
"4","AR31","JEFF"
"5","AR54","JEFF"
"6","AR64","JEFF"
"7","ASRP","ASRP"
"8","ATOS","ATON"
"9","BBBS","BBBS"
"10","BEAR","DIVI"
"11","BEAV","MARV"
"12","BFSW","AUDU"
"13","BKBR","NUBA"
"14","BMNC","BMNC"
"15","BORF","AUDU"
"16","BORR","AUDU"
"17","BROO","HOOD"
"18","BUHO","BUCK"
"19","CAHI","CAHI"
"20","CBWP","CBWP"
"21","CEDA","KNOX"
"22","CLDC","CLDC"
"23","CLHI","HEBR"
"24","CMS1","CMAC"
"25","CON2","CONG"
"26","CONG","CONG"
"27","CORS","BUCK"
"28","COWL","KNOX"
"29","DCVT","DCVT"
"30","DROP","SWIF"
"31","DULA","KNOX"
"32","EABO","CRAN"
"33","EALE","SWIF"
"34","EALW","SWIF"
"35","EANY","FIVE"
"36","ENGI","HOOD"
"37","ESDR","RILE"
"38","FERN","FERN"
"39","FIRS","CRAN"
"40","FL--","HOPE"
"41","FOXF","FOXF"
"42","FTTI","BUCK"
"43","GEHI","FTSL"
"44","GIFA","GIFA"
"45","GMFI","AUDU"
"46","GSL1","LDWF"
"47","GSL2","LDWF"
"48","HOFF","TRAC"
"49","HOLL","HOLL"
"50","HUNT","KNIS"
"51","I104","BRAG"
"52","I113","BRAG"
"53","ICHA","ICHA"
"54","JOKU","MUIS"
"55","KAIS","BBBO"
"56","KANE","MARV"
"57","KARI","RILE"
"58","KETT","POCO"
"59","KSMA","KSMA"
"60","LAUR","LAHO"
"61","LDLA","KNOX"
"62","LNER","LNER"
"63","MAP1","CASP"
"64","MAP2","TCFS"
"65","MBBS","MBBS"
"66","MCSP","KNOX"
"67","MOWO","MOWO"
"68","MWSF","AUDU"
"69","MYPR","RILE"
"70","NAT1","LDWF"
"71","NAT2","LDWF"
"72","OHRI","KNOX"
"73","PIPE","SWIF"
"74","POWD","POWD"
"75","PULS","PULS"
"76","PUNK","WING"
"77","RACK","MARV"
"78","RIBA","GRSM"
"79","S110","BRAG"
"80","S112","BRAG"
"81","S114","BRAG"
"82","SACE","AUDU"
"83","SACF","AUDU"
"84","SAHI","BRAG"
"85","SAJU","SWIF"
"86","SARI","KNOX"
"87","SEED","CRAN"
"88","SHOR","HOOD"
"89","SHW1","LDWF"
"90","SHW2","LDWF"
"91","SKYT","POCO"
"92","SPAL","SPAL"
"93","SSNC","SSNC"
"94","STRM","POCO"
"95","SULP","CRAN"
"96","TABR","HOOD"
"97","TAYL","HOOD"
"98","TESS","TESS"
"99","TICR","RILE"
"100","TMCR","RILE"
"101","TWOM","POCO"
"102","VIRE","HOOD"
"103","WASS","WASS"
"104","WAWO","WAWO"
"105","WCCR","FTSL"
"106","WCLO","SWIF"
"107","WEHL","MIDW"
"108","WIBR","BUCK"
"109","WICE","CRAN"
