"","band","captureyear","month","birthyear","actualage","agegroup","CP","BP","loc","station","freq"
"1",762,1995,7,1995,0,"J",NA,NA,"CRAN","AR14",1
"2",2086,1998,6,0,-1,"A",NA,NA,"FERN","FERN",1
"3",3013,1998,5,0,-1,"A",NA,NA,"HOLL","HOLL",1
"4",3848,2001,7,0,-1,"A",NA,NA,"KNOX","OHRI",1
"5",3903,2001,6,0,-1,"A",0,3,"MBBS","MBBS",1
"6",5047,2003,7,2003,0,"J",NA,NA,"FERN","FERN",1
"7",5322,2003,7,2003,0,"J",NA,NA,"AUDU","BORF",1
"8",5886,2006,6,0,-1,"A",NA,NA,"HOLL","HOLL",1
"9",6601,2009,6,0,-1,"A",NA,NA,"MIDW","WEHL",1
"10",6613,2009,5,0,-1,"A",NA,NA,"HOLL","HOLL",1
"11",76067166,1998,6,0,-1,"A",0,0,"CBWP","CBWP",1
"12",78145665,2002,7,0,-1,"A",2,0,"CMAC","CMS1",1
"13",78145666,2002,7,0,-1,"A",2,0,"CMAC","CMS1",1
"14",78145669,2002,7,0,-1,"A",0,4,"CMAC","CMS1",1
"15",78145733,2004,7,2004,0,"J",NA,NA,"CMAC","CMS1",1
"16",78145751,2005,6,0,-1,"A",NA,2,"CMAC","CMS1",1
"17",78145763,2005,7,2005,0,"J",NA,NA,"CMAC","CMS1",1
"18",78145765,2005,7,2005,0,"J",NA,NA,"CMAC","CMS1",1
"19",78145768,2005,8,2005,0,"J",NA,NA,"CMAC","CMS1",1
"20",78145775,2006,6,2006,0,"J",NA,NA,"CMAC","CMS1",1
"21",78145787,2006,7,0,-1,"A",NA,1,"CMAC","CMS1",1
"22",78145787,2007,6,0,-1,"A",NA,5,"CMAC","CMS1",1
"23",78145789,2006,8,0,-1,"A",NA,3,"CMAC","CMS1",1
"24",79112649,1997,6,0,-1,"A",2,0,"LAHO","LAUR",1
"25",79112679,1994,6,0,-1,"A",0,3,"LAHO","LAUR",1
"26",79112684,1994,6,0,-1,"A",0,2,"LAHO","LAUR",1
"27",79112689,1994,7,0,-1,"A",0,2,"LAHO","LAUR",1
"28",79112689,1996,7,0,-1,"A",0,4,"LAHO","LAUR",1
"29",79112696,1994,7,0,-1,"A",0,2,"LAHO","LAUR",1
"30",79137234,2008,7,0,-1,"A",3,0,"CRAN","SULP",1
"31",79137235,2008,7,2008,0,"J",0,0,"CRAN","SULP",1
"32",79137236,2008,7,0,-1,"A",0,3,"CRAN","SULP",1
"33",79137237,2008,7,0,-1,"A",0,4,"CRAN","SULP",1
"34",79137239,2008,7,0,-1,"A",1,2,"CRAN","WICE",1
"35",79137240,2008,7,0,-1,"A",1,0,"CRAN","WICE",1
"36",79137241,2008,7,0,-1,"A",1,3,"CRAN","WICE",1
"37",79137243,2008,7,0,-1,"A",0,3,"CRAN","WICE",1
"38",79137243,2008,8,0,-1,"A",0,4,"CRAN","WICE",1
"39",79137246,2008,7,0,-1,"A",3,0,"CRAN","FIRS",1
"40",79137248,2008,7,0,-1,"A",3,0,"CRAN","SEED",1
"41",79137249,2008,7,2008,0,"J",0,0,"CRAN","SEED",1
"42",79137250,2008,7,0,-1,"A",0,5,"CRAN","SEED",1
"43",79137251,2008,7,2008,0,"J",0,0,"CRAN","SEED",1
"44",79137251,2012,6,2008,4,"A",0,3,"CRAN","SEED",1
"45",79137257,2008,7,0,-1,"A",1,0,"CRAN","SULP",1
"46",79137258,2008,7,2008,0,"J",1,1,"CRAN","SULP",1
"47",79137259,2008,7,2008,0,"J",0,0,"CRAN","SULP",1
"48",79137260,2008,7,2008,0,"J",1,1,"CRAN","WICE",1
"49",79137260,2008,8,2008,0,"J",0,0,"CRAN","WICE",1
"50",79137264,2008,7,2008,0,"J",0,0,"CRAN","WICE",1
"51",79137268,2008,7,0,-1,"A",1,2,"CRAN","FIRS",1
"52",79137271,2008,7,0,-1,"A",2,0,"CRAN","SEED",1
"53",79137272,2008,7,0,-1,"A",2,0,"CRAN","EABO",1
"54",79137277,2008,8,2008,0,"J",1,1,"CRAN","SULP",1
"55",79137278,2008,8,2008,0,"J",0,0,"CRAN","SULP",1
"56",79137282,2008,8,0,-1,"A",1,0,"CRAN","SULP",1
"57",79137283,2008,8,2008,0,"J",0,0,"CRAN","SULP",1
"58",79137285,2008,8,0,-1,"A",2,0,"CRAN","SULP",1
"59",79137285,2011,6,0,-1,"A",3,0,"CRAN","SULP",1
"60",79137288,2008,8,0,-1,"A",0,4,"CRAN","WICE",1
"61",79137291,2008,8,2008,0,"J",0,0,"CRAN","WICE",1
"62",79137292,2008,8,0,-1,"A",0,4,"CRAN","WICE",1
"63",79137293,2008,8,0,-1,"A",1,4,"CRAN","FIRS",1
"64",79137294,2008,8,2008,0,"J",1,1,"CRAN","FIRS",1
"65",79137296,2011,6,0,-1,"A",1,4,"CRAN","SULP",1
"66",79137298,2011,6,0,-1,"A",2,0,"CRAN","SULP",1
"67",79137298,2011,6,0,-1,"A",3,0,"CRAN","SULP",1
"68",79137300,2011,6,0,-1,"A",2,0,"CRAN","SULP",1
"69",79137300,2012,6,0,-1,"A",3,0,"CRAN","SULP",1
"70",79137300,2012,7,0,-1,"A",2,0,"CRAN","SULP",1
"71",79137506,2008,6,0,-1,"A",3,0,"KNOX","CEDA",1
"72",79137507,2008,6,0,-1,"A",3,0,"KNOX","CEDA",1
"73",79137508,2008,6,2008,0,"J",0,0,"KNOX","MCSP",1
"74",79137509,2008,6,0,-1,"A",0,3,"KNOX","MCSP",1
"75",79137510,2008,6,0,-1,"A",3,0,"KNOX","MCSP",1
"76",79137511,2008,6,0,-1,"A",3,0,"KNOX","MCSP",1
"77",79137512,2008,6,0,-1,"A",0,3,"KNOX","MCSP",1
"78",79137513,2008,6,2008,0,"J",0,0,"KNOX","COWL",1
"79",79137522,2008,6,0,-1,"A",0,3,"KNOX","MCSP",1
"80",79137526,2008,7,2008,0,"J",0,0,"KNOX","CEDA",1
"81",79137528,2008,7,0,-1,"A",2,0,"KNOX","CEDA",1
"82",79137530,2008,7,0,-1,"A",2,0,"KNOX","SARI",1
"83",79137535,2008,7,2008,0,"J",0,0,"KNOX","MCSP",1
"84",79137536,2008,7,0,-1,"A",2,0,"KNOX","MCSP",1
"85",79137540,2008,7,0,-1,"A",2,0,"KNOX","SARI",1
"86",79137540,2008,8,0,-1,"A",2,0,"KNOX","SARI",1
"87",79137541,2008,7,0,-1,"A",1,3,"KNOX","SARI",1
"88",79137542,2008,7,2008,0,"J",2,0,"KNOX","COWL",1
"89",81237002,1999,7,0,-1,"A",0,0,"BRAG","I113",1
"90",84169374,1999,6,0,-1,"A",2,0,"FERN","FERN",1
"91",85177701,1994,8,0,-1,"A",2,4,"LAHO","LAUR",1
"92",85177714,1995,6,0,-1,"A",2,4,"LAHO","LAUR",1
"93",85177719,1995,6,0,-1,"A",0,4,"LAHO","LAUR",1
"94",85177720,1995,6,0,-1,"A",3,0,"LAHO","LAUR",1
"95",85177724,1995,6,0,-1,"A",2,0,"LAHO","LAUR",1
"96",85177725,1995,7,0,-1,"A",2,0,"LAHO","LAUR",1
"97",85177725,1996,7,0,-1,"A",2,0,"LAHO","LAUR",1
"98",85177725,1997,7,0,-1,"A",1,0,"LAHO","LAUR",1
"99",85177741,1995,8,1995,0,"J",0,0,"LAHO","LAUR",1
"100",85177748,1996,6,0,-1,"A",0,2,"LAHO","LAUR",1
"101",85177748,1998,6,0,-1,"A",0,2,"LAHO","LAUR",1
"102",85177748,1998,7,0,-1,"A",0,4,"LAHO","LAUR",1
"103",85177749,1996,6,0,-1,"A",3,0,"LAHO","LAUR",1
"104",85177749,1996,7,0,-1,"A",2,0,"LAHO","LAUR",1
"105",85177749,1998,6,0,-1,"A",2,0,"LAHO","LAUR",1
"106",85177751,1996,6,0,-1,"A",2,0,"LAHO","LAUR",1
"107",85177751,1996,7,0,-1,"A",3,0,"LAHO","LAUR",1
"108",85177751,1999,6,0,-1,"A",2,0,"LAHO","LAUR",1
"109",85177753,1996,6,0,-1,"A",0,2,"LAHO","LAUR",1
"110",85177756,1996,7,1996,0,"J",0,0,"LAHO","LAUR",1
"111",85177774,1996,8,1996,0,"J",0,0,"LAHO","LAUR",1
"112",85177784,1997,6,0,-1,"A",2,0,"LAHO","LAUR",1
"113",85177784,1998,5,0,-1,"A",2,0,"LAHO","LAUR",1
"114",85177784,2000,7,0,-1,"A",3,0,"LAHO","LAUR",1
"115",85177785,1994,7,0,-1,"A",2,0,"LAHO","LAUR",1
"116",85177785,1996,6,0,-1,"A",3,0,"LAHO","LAUR",1
"117",85177785,1996,7,0,-1,"A",3,0,"LAHO","LAUR",1
"118",85177785,1997,6,0,-1,"A",2,0,"LAHO","LAUR",1
"119",85177786,1997,6,0,-1,"A",2,0,"LAHO","LAUR",1
"120",85177793,1997,6,0,-1,"A",0,3,"LAHO","LAUR",1
"121",85177796,1997,7,1997,0,"J",0,0,"LAHO","LAUR",1
"122",85177798,1997,7,0,-1,"A",0,1,"LAHO","LAUR",1
"123",85178001,1995,6,0,-1,"A",0,2,"MOWO","MOWO",1
"124",85178010,1995,7,0,-1,"A",2,0,"MOWO","MOWO",1
"125",85178011,1995,7,1995,0,"J",0,0,"MOWO","MOWO",1
"126",85178012,1995,7,1995,0,"J",0,0,"MOWO","MOWO",1
"127",85178013,1995,7,1995,0,"J",0,0,"MOWO","MOWO",1
"128",85178016,1995,7,0,-1,"A",0,2,"MOWO","MOWO",1
"129",85178016,1995,8,0,-1,"A",0,2,"MOWO","MOWO",1
"130",85178017,1995,7,1995,0,"J",0,0,"MOWO","MOWO",1
"131",85178021,1995,7,0,-1,"A",2,0,"MOWO","MOWO",1
"132",85178039,1995,7,1995,0,"J",0,0,"MOWO","MOWO",1
"133",85178048,1995,8,0,-1,"A",0,4,"MOWO","MOWO",1
"134",85178054,1995,8,1995,0,"J",0,0,"MOWO","MOWO",1
"135",85178069,1995,8,0,-1,"A",0,5,"MOWO","MOWO",1
"136",85178083,1996,6,0,-1,"A",2,0,"MOWO","MOWO",1
"137",85178096,1996,6,0,-1,"A",2,0,"MOWO","MOWO",1
