"station","population"
"AR14",15
"AR16",29
"AR27",29
"AR31",29
"AR54",29
"AR64",29
"ASRP",1
"ATOS",2
"BBBS",5
"BEAR",17
"BEAV",36
"BFSW",3
"BKBR",41
"BMNC",6
"BORF",3
"BORR",3
"BROO",26
"BUHO",8
"CAHI",9
"CBWP",11
"CEDA",31
"CLDC",12
"CLHI",24
"CMS1",13
"CON2",14
"CONG",14
"CORS",8
"COWL",31
"DCVT",16
"DROP",48
"DULA",31
"EABO",15
"EALE",48
"EALW",48
"EANY",19
"ENGI",26
"ESDR",45
"FERN",18
"FIRS",15
"FL--",27
"FOXF",20
"FTTI",8
"GEHI",21
"GIFA",22
"GMFI",3
"GSL1",34
"GSL2",34
"HOFF",51
"HOLL",25
"HUNT",30
"I104",7
"I113",7
"ICHA",28
"JOKU",40
"KAIS",4
"KANE",36
"KARI",45
"KETT",42
"KSMA",32
"LAUR",33
"LDLA",31
"LNER",35
"MAP1",10
"MAP2",49
"MBBS",37
"MCSP",31
"MOWO",39
"MWSF",3
"MYPR",45
"NAT1",34
"NAT2",34
"OHRI",31
"PIPE",48
"POWD",43
"PULS",44
"PUNK",54
"RACK",36
"RIBA",23
"S110",7
"S112",7
"S114",7
"SACE",3
"SACF",3
"SAHI",7
"SAJU",48
"SARI",31
"SEED",15
"SHOR",26
"SHW1",34
"SHW2",34
"SKYT",42
"SPAL",46
"SSNC",47
"STRM",42
"SULP",15
"TABR",26
"TAYL",26
"TESS",50
"TICR",45
"TMCR",45
"TWOM",42
"VIRE",26
"WASS",52
"WAWO",53
"WCCR",21
"WCLO",48
"WEHL",38
"WIBR",8
"WICE",15
