"","band","captureyear","month","birthyear","actualage","agegroup","CP","BP","loc","station","freq"
"1",723,1995,6,0,-1,"A",NA,NA,"CONG","CONG",1
"2",1247,1996,8,0,-1,"A",0,0,"SWIF","EALE",1
"3",1911,1998,5,0,-1,"A",0,4,"HOOD","ENGI",1
"4",1919,1998,6,0,-1,"A",NA,NA,"SWIF","EALE",1
"5",1920,1998,6,0,-1,"A",NA,NA,"SWIF","EALE",1
"6",5063,2004,6,0,-1,"A",NA,NA,"SWIF","EALE",1
"7",5888,2005,5,0,-1,"A",NA,NA,"WASS","WASS",1
"8",5960,2004,6,0,-1,"A",2,0,"LDWF","SHW1",1
"9",5963,2004,5,0,-1,"A",0,5,"LDWF","SHW2",1
"10",5998,2005,5,0,-1,"A",0,3,"LDWF","SHW2",1
"11",6012,2006,5,0,-1,"A",NA,NA,"LDWF","GSL1",1
"12",6013,2006,5,0,-1,"A",NA,NA,"LDWF","SHW2",1
"13",6182,2008,7,2008,0,"J",0,0,"SWIF","WCLO",1
"14",6289,2008,6,0,-1,"A",NA,NA,"LDWF","SHW2",1
"15",6580,2009,6,0,-1,"A",NA,NA,"LDWF","NAT1",1
"16",6586,2010,7,2010,0,"J",NA,NA,"LDWF","GSL2",1
"17",94099963,1994,7,0,-1,"A",NA,4,"CONG","CONG",1
"18",94099965,1994,7,0,-1,"A",NA,4,"CONG","CONG",1
"19",94099966,1994,7,1994,0,"J",NA,NA,"CONG","CONG",1
"20",94099968,1994,7,1994,0,"J",0,0,"CONG","CONG",1
"21",94099969,1994,7,1994,0,"J",0,0,"CONG","CONG",1
"22",112068928,2003,6,0,-1,"A",1,0,"LAHO","LAUR",1
"23",131025007,1994,5,0,-1,"A",0,1,"FTSL","GEHI",1
"24",131025014,1994,6,0,-1,"A",0,3,"FTSL","GEHI",1
"25",131025016,1994,6,0,-1,"A",1,1,"FTSL","GEHI",1
"26",131025016,1994,8,0,-1,"A",0,4,"FTSL","GEHI",1
"27",131025017,1994,6,0,-1,"A",0,1,"FTSL","GEHI",1
"28",142055162,2008,7,0,-1,"A",0,1,"DIVI","BEAR",1
"29",153081160,1998,8,1998,0,"J",0,0,"BUCK","FTTI",1
"30",154038722,1997,5,0,-1,"A",1,0,"HOPE","FL--",1
"31",155006851,1995,5,0,-1,"A",0,0,"CONG","CONG",1
"32",155006851,1996,5,0,-1,"A",2,NA,"CONG","CONG",1
"33",155006851,1997,6,0,-1,"A",0,0,"CONG","CONG",1
"34",155006851,1998,6,0,-1,"A",2,NA,"CONG","CONG",1
"35",155006851,1998,7,0,-1,"A",0,0,"CONG","CONG",1
"36",155006895,1995,6,0,-1,"A",0,0,"CONG","CONG",1
"37",165020006,1998,6,0,-1,"A",0,3,"DIVI","BEAR",1
"38",165020009,1998,6,0,-1,"A",2,0,"DIVI","BEAR",1
"39",165020009,2000,6,0,-1,"A",NA,NA,"DIVI","BEAR",1
"40",165020009,2000,6,0,-1,"A",2,0,"DIVI","BEAR",1
"41",165020009,2002,7,0,-1,"A",1,0,"DIVI","BEAR",1
"42",165020010,1998,6,0,-1,"A",0,3,"DIVI","BEAR",1
"43",165020023,1999,6,0,-1,"A",2,0,"DIVI","BEAR",1
"44",165020024,1999,6,0,-1,"A",0,3,"DIVI","BEAR",1
"45",165020027,1999,6,0,-1,"A",1,0,"DIVI","BEAR",1
"46",165020028,1999,6,0,-1,"A",0,2,"DIVI","BEAR",1
"47",165020035,2000,6,0,-1,"A",NA,NA,"DIVI","BEAR",1
"48",165020035,2000,6,0,-1,"A",2,0,"DIVI","BEAR",1
"49",165020036,2000,6,0,-1,"A",0,2,"DIVI","BEAR",1
"50",165020036,2003,5,0,-1,"A",0,2,"DIVI","BEAR",1
"51",165020061,2002,6,0,-1,"A",0,5,"DIVI","BEAR",1
"52",165020069,2002,7,0,-1,"A",0,3,"DIVI","BEAR",1
"53",165020069,2002,7,0,-1,"A",0,4,"DIVI","BEAR",1
"54",165020076,2002,7,2002,0,"J",0,0,"DIVI","BEAR",1
"55",165020077,2002,7,0,-1,"A",0,4,"DIVI","BEAR",1
"56",165020077,2003,5,0,-1,"A",0,0,"DIVI","BEAR",1
"57",165020077,2004,7,0,-1,"A",0,4,"DIVI","BEAR",1
"58",165020096,2003,6,0,-1,"A",0,4,"DIVI","BEAR",1
"59",165020099,2003,7,0,-1,"A",0,3,"DIVI","BEAR",1
"60",173050090,2004,7,0,-1,"A",0,3,"DIVI","BEAR",1
"61",173050098,2005,6,0,-1,"A",0,2,"DIVI","BEAR",1
"62",174066246,1999,7,1999,0,"J",0,0,"BUCK","FTTI",1
"63",174066247,1999,8,1999,0,"J",0,0,"BUCK","BUHO",1
"64",174066252,1999,9,1999,0,"J",NA,NA,"BUCK","FTTI",1
"65",174066383,2000,6,0,-1,"A",0,0,"BUCK","FTTI",1
"66",174066384,2000,6,0,-1,"A",0,4,"BUCK","FTTI",1
"67",183047567,1998,5,0,-1,"A",2,NA,"HOPE","FL--",1
"68",183047567,1998,7,0,-1,"A",NA,0,"HOPE","FL--",1
